model,family,experiment,data_source,train_rows,test_rows,feature_count,train_months,test_month,train_r2,test_r2,test_mae,test_rmse,test_median_absolute_error,test_mape,test_mdape,fit_seconds,selected_parameters
Linear Regression (baseline),Linear Regression,"A - Kelvin KNN encoded features, full standardized test month",/Users/HP/Documents/IDX Exchange/W3 Data Preprocessing/Kelvin/model_data_knn_after_encoding.csv.gz,129813,12024,967,2025-05 to 2026-04,2026-05,0.6415406007912627,0.47141462964865455,363777.911317989,1220014.7686253479,223954.3125,0.3776635245149735,0.2240902388211382,4.2490620613098145,{'n_jobs': -1}
"Decision Tree (depth 24, leaf 10)",Decision Tree,"A - Kelvin KNN encoded features, full standardized test month",/Users/HP/Documents/IDX Exchange/W3 Data Preprocessing/Kelvin/model_data_knn_after_encoding.csv.gz,129813,12024,967,2025-05 to 2026-04,2026-05,0.8094361612822784,0.4398388128543236,275506.3772378532,1255925.9252167256,95424.6323529412,0.1978336769154542,0.10639523588776914,6.9260618686676025,"{'max_depth': 24, 'min_samples_leaf': 10, 'random_state': 55}"
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",Random Forest,"A - Kelvin KNN encoded features, full standardized test month",/Users/HP/Documents/IDX Exchange/W3 Data Preprocessing/Kelvin/model_data_knn_after_encoding.csv.gz,129813,12024,967,2025-05 to 2026-04,2026-05,0.800661143430936,0.5138561661189958,232766.89781113784,1170010.9042275865,84134.49002279073,0.18239761936023746,0.08970259090651614,53.007662773132324,"{'n_estimators': 60, 'max_depth': 30, 'min_samples_leaf': 10, 'max_features': 0.7, 'random_state': 55, 'n_jobs': -1}"
