model,family,model_origin,train_months,test_month,train_rows,test_rows,encoded_feature_count,train_r2,test_r2,test_mae,test_mape,test_mdape,test_mse,test_rmse,fit_seconds,selected_parameters
"XGBoost (depth 8, lr 0.05, 500 trees)",XGBoost,Week 7 selected setting,2025-06 to 2026-05,2026-06,130060,12857,1193,0.9349210063158548,0.8115962234870491,232373.3406433509,0.2519875019932874,0.11770603813559322,444759032847.8608,666902.566232775,2.997561083990149,"{""colsample_bytree"": 0.8, ""eval_metric"": ""rmse"", ""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 500, ""n_jobs"": -1, ""objective"": ""reg:squarederror"", ""random_state"": 55, ""reg_lambda"": 5.0, ""subsample"": 0.85, ""tree_method"": ""hist"", ""verbosity"": 0}"
"LightGBM (depth 10, lr 0.05, 500 trees)",LightGBM,Week 7 selected setting,2025-06 to 2026-05,2026-06,130060,12857,1193,0.8654670609094341,0.7975238558489096,242444.32860531087,0.26560501297430567,0.12232562381236514,477979240725.1068,691360.4275087683,4.155433625011938,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_samples"": 30, ""n_estimators"": 500, ""n_jobs"": -1, ""num_leaves"": 63, ""objective"": ""regression"", ""random_state"": 55, ""reg_lambda"": 5.0, ""subsample"": 0.85, ""subsample_freq"": 1, ""verbosity"": -1}"
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",Random Forest,Week 6 selected setting / W7 reference,2025-06 to 2026-05,2026-06,130060,12857,1193,0.8076226006573555,0.7485915097282256,232645.97451135155,0.23687159875774053,0.0914348155543755,593492333606.8525,770384.5361940052,114.8672711669933,"{""max_depth"": 30, ""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 60, ""n_jobs"": -1, ""random_state"": 55}"
"Decision Tree (depth 24, leaf 10)",Decision Tree,Week 6 selected setting,2025-06 to 2026-05,2026-06,130060,12857,1193,0.7977706979179315,0.7216075881625678,270596.0706589498,0.26301501028464686,0.10610938215102975,657192451938.3954,810674.072570719,13.746798874999513,"{""max_depth"": 24, ""min_samples_leaf"": 10, ""random_state"": 55}"
Linear Regression,Linear Regression,Week 4 baseline,2025-06 to 2026-05,2026-06,130060,12857,1193,0.6955486996836517,0.6985877764807377,320643.30502904847,0.3382177494854603,0.17983523995288672,711534617310.2603,843525.1136215568,20.352093333000084,"{""n_jobs"": -1}"
