model,family,best_price_band,best_band_mdape,best_band_mape,best_band_rmse,second_best_price_band,second_best_band_mdape,weakest_price_band,weakest_band_mdape
Linear Regression,Linear Regression,$1.1M-$1.67M,0.1377846971405489,0.19731703796483774,415236.78693532466,$800k-$1.1M,0.15470846500797278,Up to $575k,0.276513845262535
"Decision Tree (depth 24, leaf 10)",Decision Tree,$575k-$800k,0.07896354210330586,0.12895409185540185,164845.9996387724,$800k-$1.1M,0.09495996231747528,$1.67M+,0.1663603603603604
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",Random Forest,$575k-$800k,0.06242932608961556,0.11072300576114263,144719.37862036313,$800k-$1.1M,0.08199859265265387,$1.67M+,0.14104917546812776
"XGBoost (depth 8, lr 0.05, 500 trees)",XGBoost,$800k-$1.1M,0.09882582269155206,0.14141492485296595,284229.7684970241,$575k-$800k,0.10100200803584655,Up to $575k,0.1506111418098866
"LightGBM (depth 10, lr 0.05, 500 trees)",LightGBM,$800k-$1.1M,0.10342765399849173,0.1472426219500904,247474.8303380192,$575k-$800k,0.10484337433266366,Up to $575k,0.14980421528262194
