family,week5_test_r2,week5_test_mape,week5_test_mdape,week6_test_r2,week6_test_mape,week6_test_mdape,test_r2_change,test_mape_change,test_mdape_change
Linear Regression,0.4714146296486545,0.3776635245149735,0.2240902388211382,0.4944991259183694,0.30339618092178666,0.17744875654995707,0.023084496269714927,-0.07426734359318682,-0.046641482271181145
Decision Tree,0.4398388128543236,0.1978336769154542,0.1063952358877691,0.47288812273579905,0.1964956887311169,0.10720821495626176,0.033049309881475475,-0.0013379881843373076,0.0008129790684926613
Random Forest,0.5138561661189958,0.1823976193602374,0.0897025909065161,0.5216088325065413,0.17943893285688253,0.0897093392904614,0.00775266638754557,-0.0029586865033548737,6.748383945306968e-06
