feature
num__Latitude
num__Longitude
num__LivingArea
num__ParkingTotal
num__YearBuilt
num__BathroomsTotalInteger
num__BedroomsTotal
num__MainLevelBedrooms
num__GarageSpaces
num__AssociationFee
num__LotSizeSquareFeet
num__Flooring_missing
num__has_carpet
num__has_tile
num__has_wood
num__has_vinyl
num__has_laminate
num__has_stone
num__has_concrete
num__has_bamboo
num__has_brick
num__Flooring_see_remarks
num__Levels_missing
num__level_one
num__level_two
num__level_three_or_more
num__level_multisplit
num__ViewYN_missing_ind
num__PoolPrivateYN_missing_ind
num__Latitude_missing_ind
num__Longitude_missing_ind
num__LivingArea_missing_ind
num__AttachedGarageYN_missing_ind
num__ParkingTotal_missing_ind
num__YearBuilt_missing_ind
num__BathroomsTotalInteger_missing_ind
num__BedroomsTotal_missing_ind
num__FireplaceYN_missing_ind
num__MainLevelBedrooms_missing_ind
num__NewConstructionYN_missing_ind
num__GarageSpaces_missing_ind
num__HighSchoolDistrict_missing_ind
num__PostalCode_missing_ind
num__AssociationFee_missing_ind
num__LotSizeSquareFeet_missing_ind
num__BedBathRatio
num__PropertyAgeAtSale
num__PropertyAgeAtSale_missing_ind
num__SaleMonthSin
num__SaleMonthCos
num__LogLivingArea
num__LogLotSizeSquareFeet
num__SchoolDistrictBoundaryMatched
num__missingindicator_Latitude
num__missingindicator_Longitude
num__missingindicator_LivingArea
num__missingindicator_ParkingTotal
num__missingindicator_YearBuilt
num__missingindicator_BathroomsTotalInteger
num__missingindicator_BedroomsTotal
num__missingindicator_MainLevelBedrooms
num__missingindicator_GarageSpaces
num__missingindicator_AssociationFee
num__missingindicator_LotSizeSquareFeet
num__missingindicator_BedBathRatio
num__missingindicator_PropertyAgeAtSale
num__missingindicator_LogLivingArea
num__missingindicator_LogLotSizeSquareFeet
cat__ViewYN_False
cat__ViewYN_True
cat__ViewYN_Unknown
cat__PoolPrivateYN_False
cat__PoolPrivateYN_True
cat__PoolPrivateYN_Unknown
cat__AttachedGarageYN_False
cat__AttachedGarageYN_True
cat__AttachedGarageYN_Unknown
cat__FireplaceYN_False
cat__FireplaceYN_True
cat__FireplaceYN_Unknown
cat__NewConstructionYN_False
cat__NewConstructionYN_True
cat__NewConstructionYN_Unknown
cat__HighSchoolDistrict_ABC Unified
cat__HighSchoolDistrict_Acalanes
cat__HighSchoolDistrict_Acton-Agua Dulce Unified
cat__HighSchoolDistrict_Adelanto
cat__HighSchoolDistrict_Alameda City Unified
cat__HighSchoolDistrict_Alhambra
cat__HighSchoolDistrict_Alta Loma
cat__HighSchoolDistrict_Alvord Unified
cat__HighSchoolDistrict_Anaheim Union High
cat__HighSchoolDistrict_Antelope Valley Union
cat__HighSchoolDistrict_Antioch
cat__HighSchoolDistrict_Apple Valley Unified
cat__HighSchoolDistrict_Arcadia Unified
cat__HighSchoolDistrict_Atascadero Unified
cat__HighSchoolDistrict_Atwater
cat__HighSchoolDistrict_Azusa Unified
cat__HighSchoolDistrict_Bakersfield City
cat__HighSchoolDistrict_Baldwin Park Unified
cat__HighSchoolDistrict_Banning Unified
cat__HighSchoolDistrict_Barstow Unified
cat__HighSchoolDistrict_Bear Valley Unified
cat__HighSchoolDistrict_Beaumont
cat__HighSchoolDistrict_Bellflower Unified
cat__HighSchoolDistrict_Berkeley
cat__HighSchoolDistrict_Bonita Unified
cat__HighSchoolDistrict_Bonsall Unified
cat__HighSchoolDistrict_Brea-Olinda Unified
cat__HighSchoolDistrict_Burbank Unified
cat__HighSchoolDistrict_Cajon Valley Union
cat__HighSchoolDistrict_Capistrano Unified
cat__HighSchoolDistrict_Carlsbad Unified
cat__HighSchoolDistrict_Carmel Unified
cat__HighSchoolDistrict_Centeniela Valley Union High
cat__HighSchoolDistrict_Chaffey Joint Union High
cat__HighSchoolDistrict_Charter Oak Unified
cat__HighSchoolDistrict_Chico Unified
cat__HighSchoolDistrict_Chino Valley Unified
cat__HighSchoolDistrict_Chowchilla Union
cat__HighSchoolDistrict_Claremont Unified
cat__HighSchoolDistrict_Clovis Unified
cat__HighSchoolDistrict_Coachella Valley Unified
cat__HighSchoolDistrict_Coast Unified
cat__HighSchoolDistrict_Colton Unified
cat__HighSchoolDistrict_Compton Unified
cat__HighSchoolDistrict_Conejo Valley Unified
cat__HighSchoolDistrict_Corning Union
cat__HighSchoolDistrict_Corona-Norco Unified
cat__HighSchoolDistrict_Covina Valley Unified
cat__HighSchoolDistrict_Culver City Unified
cat__HighSchoolDistrict_Cypress School District
cat__HighSchoolDistrict_Desert Sands Unified
cat__HighSchoolDistrict_Downey Unified
cat__HighSchoolDistrict_Duarte Unified
cat__HighSchoolDistrict_Dublin
cat__HighSchoolDistrict_El Monte Union High
cat__HighSchoolDistrict_El Rancho Unified
cat__HighSchoolDistrict_El Tejon Unified
cat__HighSchoolDistrict_Encinitas Union
cat__HighSchoolDistrict_Escondido Union
cat__HighSchoolDistrict_Etiwanda
cat__HighSchoolDistrict_Fallbrook Union
cat__HighSchoolDistrict_Fontana Unified
cat__HighSchoolDistrict_Fountain Valley
cat__HighSchoolDistrict_Fremont Unified
cat__HighSchoolDistrict_Fresno Unified
cat__HighSchoolDistrict_Fullerton Joint Union High
cat__HighSchoolDistrict_Garden Grove Unified
cat__HighSchoolDistrict_Gilroy Unified
cat__HighSchoolDistrict_Glendale Unified
cat__HighSchoolDistrict_Glendora Unified
cat__HighSchoolDistrict_Grossmont Union
cat__HighSchoolDistrict_Hacienda La Puente Unified
