model,family,experiment,train_rows,test_rows,feature_count,train_months,test_month,train_r2,test_r2,test_mae,test_rmse,test_median_absolute_error,test_mape,test_mdape,fit_seconds,selected_parameters
Linear Regression (baseline),Linear Regression,"B - Engineered intrinsic, cyclical-time, and CDE 2025-26 unified-school-district spatial features; full standardized test month",129813,12024,1193,2025-05 to 2026-04,2026-05,0.6676364629950027,0.4944991259183694,322806.30886067625,1193077.0010942426,169835.55033217906,0.30339618092178666,0.17744875654995707,20.68712592124939,"{""n_jobs"": -1}"
"Decision Tree (depth 24, leaf 10)",Decision Tree,"B - Engineered intrinsic, cyclical-time, and CDE 2025-26 unified-school-district spatial features; full standardized test month",129813,12024,1193,2025-05 to 2026-04,2026-05,0.7745444014022108,0.47288812273579905,276724.0230074729,1218313.1155049049,98017.07142857148,0.1964956887311169,0.10720821495626176,15.724832773208618,"{""max_depth"": 24, ""min_samples_leaf"": 10, ""random_state"": 55}"
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",Random Forest,"B - Engineered intrinsic, cyclical-time, and CDE 2025-26 unified-school-district spatial features; full standardized test month",129813,12024,1193,2025-05 to 2026-04,2026-05,0.7861923325260669,0.5216088325065413,234157.45827782725,1160644.1715097863,84101.69951928529,0.17943893285688253,0.0897093392904614,134.11754703521729,"{""max_depth"": 30, ""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 60, ""n_jobs"": -1, ""random_state"": 55}"
