model,rank,feature,importance_type,value
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",9,num__PoolPrivateYN_missing_ind,feature_importance,0.01674811629133094
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",10,num__LotSizeSquareFeet,feature_importance,0.01609667698332427
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",11,cat__PoolPrivateYN_Unknown,feature_importance,0.014595723398570098
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",12,num__LogLotSizeSquareFeet,feature_importance,0.01377630837611737
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",13,num__YearBuilt,feature_importance,0.013576323067569939
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",14,num__PropertyAgeAtSale,feature_importance,0.013233043102324682
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",15,cat__HighSchoolDistrict_Newport Mesa Unified,feature_importance,0.011457857981940845
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",16,num__AssociationFee,feature_importance,0.008812145415278801
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",17,num__missingindicator_AssociationFee,feature_importance,0.00869858785784769
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",18,num__AssociationFee_missing_ind,feature_importance,0.007140093933931141
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",19,num__LivingArea_missing_ind,feature_importance,0.005392365069251001
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",20,cat__DistrictName_Santa Monica-Malibu Unified,feature_importance,0.005324440700068626
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",21,num__ParkingTotal,feature_importance,0.005189638344331974
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",22,cat__DistrictName_Beverly Hills Unified,feature_importance,0.004355718210650146
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",23,cat__PostalCode_90210,feature_importance,0.004031811883787108
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",24,num__missingindicator_LivingArea,feature_importance,0.0034964771875499595
"Random Forest (60 trees, depth 30, leaf 10, max_features 0.7)",25,num__missingindicator_LogLivingArea,feature_importance,0.003271313731518203
