price_band,rows,mean_close_price,test_r2,mae,mape,mdape
"(11899.999, 580000.0]",2422.0,432672.1784062758,-9.869871116747,249045.54436932286,0.8201974165077942,0.4626153568564555
"(580000.0, 807500.0]",2389.0,695568.1305985769,-24.954079654754015,247458.04800648807,0.3594196474375501,0.2814040562913907
"(807500.0, 1125000.0]",2433.0,945194.3117961364,-15.390399879718238,254933.40527640775,0.27111809429497047,0.19664353448275862
"(1125000.0, 1690000.0]",2383.0,1375446.50944188,-7.299210447007827,300232.93201846414,0.2201368534805004,0.16226954756484485
"(1690000.0, 97972500.0]",2397.0,3113019.211097205,0.27706981973158373,769291.6013767209,0.21344935043561147,0.15849158415841585
